Edad,trabajo,estado_civil,educacion,saldo,credito_vivienda,prestamo,contacto,campaign,contactos_previos,poutcome,suscrito
64.0,entrepreneur,divorced,tertiary,59311,yes,no,telephone,47.0,3.0,success,no
20.0,blue-collar,divorced,primary,0,no,yes,cellular,40.0,0.0,nonexistent,no
18.0,entrepreneur,married,tertiary,84789,yes,yes,cellular,22.0,3.0,success,no
72.0,technician,single,secondary,Auto%#,yes,yes,cellular,25.0,1.0,success,yes
31.0,unemployed,divorced,primary,23499,no,yes,telephone,10.0,2.0,success,yes
56.0,student,married,secondary,0,yes,no,telephone,36.0,2.0,failure,yes
44.0,retired,divorced,tertiary,79993,yes,no,telephone,48.0,0.0,failure,yes
26.0,retired,divorced,secondary,72536,yes,no,cellular,48.0,1.0,success,yes
32.0,entrepreneur,married,secondary,50030,no,no,cellular,49.0,1.0,failure,no
59.0,unemployed,married,tertiary,82124,no,no,telephone,27.0,3.0,failure,yes
56.0,technician,married,secondary,18063,yes,no,cellular,11.0,3.0,nonexistent,no
66.0,unemployed,single,primary,76444,yes,yes,telephone,3.0,0.0,failure,no
69.0,unemployed,married,tertiary,Auto%#,yes,no,cellular,2.0,2.0004504098729843,failure,yes
49.0,admin,divorced,secondary,-1016,no,no,cellular,46.0,2.0,failure,no
21.0,admin,single,tertiary,48450,yes,no,telephone,42.0,3.0,success,no
46.18152922479251,student,married,secondary,54700,yes,yes,telephone,24.0,0.0,failure,no
54.0,student,married,tertiary,70723,yes,no,cellular,20.0,0.0,failure,no
56.0,self-employed,married,tertiary,18339,yes,yes,telephone,40.0,4.0,success,yes
62.0,self-employed,single,primary,36481,yes,no,telephone,15.0,4.0,failure,no
32.0,blue-collar,single,tertiary,62351,yes,yes,cellular,6.0,4.0,nonexistent,no
46.0,management,married,tertiary,62236,no,no,cellular,22.0,3.0,nonexistent,no
30.0,unemployed,married,tertiary,46287,yes,no,telephone,15.0,2.0,success,no
49.0,unemployed,divorced,secondary,58306,no,yes,cellular,48.0,3.0,nonexistent,no
59.0,entrepreneur,divorced,secondary,33495,no,yes,cellular,33.0,3.0,success,yes
45.0,unemployed,divorced,tertiary,49946,yes,no,telephone,23.0,4.0,nonexistent,yes
45.0,blue-collar,married,primary,64601,no,no,telephone,42.0,4.0,nonexistent,yes
37.0,unemployed,divorced,tertiary,45561,yes,yes,cellular,26.0,0.0,success,no
47.0,self-employed,single,primary,0,no,no,cellular,19.0,2.0,failure,yes
72.0,management,single,primary,94996,yes,no,cellular,40.0,2.0,failure,no
45.0,student,divorced,primary,6820,no,yes,telephone,7.0,0.0,nonexistent,no
42.0,retired,divorced,secondary,55232,yes,no,telephone,25.0,3.0,nonexistent,yes
56.0,admin,married,secondary,16757,yes,yes,telephone,49.0,4.0,failure,no
50.0,student,married,primary,44588,no,no,telephone,40.0,1.0,success,no
18.0,technician,single,tertiary,86682,yes,no,telephone,36.0,2.0,nonexistent,no
69.0,management,married,secondary,34742,no,yes,telephone,28.0,0.0,failure,no
30.0,technician,divorced,secondary,70195,yes,no,cellular,49.0,0.0,failure,yes
56.0,admin,divorced,secondary,16335,yes,yes,cellular,31.0,2.0,failure,yes
25.0,blue-collar,married,primary,83841,yes,no,telephone,24.0,1.0,success,yes
26.0,unemployed,married,secondary,45501,yes,yes,telephone,38.0,2.0,success,no
50.0,self-employed,single,tertiary,12538,yes,yes,cellular,49.0,0.0,nonexistent,yes
68.0,unemployed,divorced,secondary,1769,yes,yes,cellular,5.0,0.0,failure,yes
59.0,blue-collar,married,primary,29586,no,yes,telephone,31.0,0.0,nonexistent,yes
41.0,student,divorced,secondary,83551,no,no,telephone,32.0,0.0,success,yes
32.0,self-employed,single,primary,98614,no,no,telephone,25.131025957972806,3.0,nonexistent,no
49.0,entrepreneur,single,secondary,50219,yes,yes,telephone,28.0,2.0,nonexistent,no
69.0,self-employed,single,tertiary,88987,yes,yes,telephone,5.0,2.0,failure,yes
29.0,blue-collar,divorced,secondary,61402,no,no,cellular,34.0,3.0,failure,no
56.0,blue-collar,single,secondary,83934,yes,no,cellular,23.0,0.0,failure,yes
19.0,technician,married,tertiary,21685,no,yes,cellular,18.0,3.0,success,yes
20.0,unemployed,single,tertiary,63884,no,yes,telephone,10.0,4.0,nonexistent,no
66.0,unemployed,divorced,primary,92426,yes,yes,telephone,39.0,3.0,failure,yes
54.0,unemployed,single,secondary,14362,yes,yes,telephone,41.0,1.0,failure,yes
73.0,self-employed,single,secondary,88561,yes,no,cellular,25.131025957972806,4.0,failure,yes
34.0,blue-collar,married,tertiary,-1497,yes,yes,telephone,25.131025957972806,0.0,success,no
66.0,technician,married,secondary,39045,yes,no,telephone,43.0,4.0,nonexistent,yes
19.0,retired,divorced,primary,11576,yes,no,cellular,17.0,0.0,failure,yes
49.0,unemployed,single,secondary,61739,no,yes,cellular,21.0,2.0,success,no
19.0,management,divorced,primary,16016,yes,yes,telephone,43.0,1.0,success,no
70.0,unemployed,divorced,secondary,59939,yes,no,cellular,1.0,3.0,failure,yes
43.0,unemployed,married,secondary,75497,no,yes,telephone,36.0,0.0,success,yes
49.0,blue-collar,married,primary,39712,no,no,telephone,47.0,4.0,nonexistent,no
72.0,retired,married,primary,4768,yes,yes,telephone,40.0,1.0,failure,yes
21.0,blue-collar,divorced,primary,57214,no,no,telephone,46.0,4.0,nonexistent,yes
72.0,unemployed,single,primary,16972,no,yes,telephone,34.0,1.0,success,yes
34.0,student,single,secondary,61412,yes,yes,cellular,20.0,3.0,failure,no
55.0,services,single,tertiary,43281,no,yes,telephone,38.0,2.0004504098729843,success,no
41.0,student,divorced,primary,26403,no,no,telephone,35.0,1.0,success,no
69.0,technician,single,primary,28226,yes,no,telephone,46.0,1.0,nonexistent,yes
23.0,services,single,secondary,26783,no,yes,telephone,36.0,0.0,failure,yes
65.0,self-employed,divorced,primary,66155,yes,yes,cellular,44.0,2.0,nonexistent,yes
33.0,entrepreneur,single,secondary,64883,yes,no,cellular,49.0,1.0,success,no
50.0,student,married,tertiary,0,no,no,telephone,1.0,3.0,success,yes
23.0,self-employed,divorced,tertiary,25788,yes,yes,cellular,12.0,0.0,nonexistent,no
33.0,entrepreneur,single,primary,Auto%#,no,yes,cellular,37.0,4.0,success,yes
46.0,technician,married,tertiary,5166,yes,no,cellular,17.0,0.0,failure,yes
36.0,services,married,secondary,73569,yes,yes,cellular,31.0,3.0,nonexistent,no
43.0,unemployed,married,primary,25224,yes,no,telephone,35.0,0.0,success,yes
20.0,entrepreneur,divorced,secondary,81610,no,yes,cellular,38.0,2.0004504098729843,nonexistent,yes
36.0,blue-collar,single,primary,1485,yes,yes,cellular,26.0,0.0,nonexistent,yes
49.0,retired,married,primary,63491,yes,yes,cellular,19.0,1.0,success,no
24.0,self-employed,divorced,primary,84208,yes,no,cellular,32.0,2.0,failure,yes
58.0,entrepreneur,married,secondary,12262,no,no,cellular,27.0,1.0,failure,no
50.0,technician,single,secondary,91296,yes,yes,telephone,39.0,3.0,failure,no
46.18152922479251,admin,divorced,tertiary,95815,no,no,telephone,34.0,1.0,nonexistent,yes
35.0,retired,married,secondary,25928,no,yes,cellular,19.0,0.0,success,no
18.0,unemployed,single,primary,84365,no,yes,telephone,3.0,2.0,nonexistent,no
46.18152922479251,services,divorced,primary,86379,no,no,telephone,3.0,1.0,failure,no
45.0,technician,married,secondary,32712,no,no,cellular,26.0,3.0,nonexistent,yes
42.0,technician,divorced,tertiary,32328,yes,no,cellular,13.0,3.0,nonexistent,yes
67.0,technician,married,tertiary,29632,yes,no,cellular,46.0,0.0,success,no
40.0,admin,divorced,secondary,35515,yes,yes,cellular,38.0,1.0,success,no
47.0,technician,single,tertiary,70690,yes,no,telephone,41.0,2.0,nonexistent,no
59.0,management,divorced,tertiary,62947,yes,no,cellular,24.0,2.0,failure,no
52.0,admin,married,primary,26170,yes,yes,telephone,10.0,2.0,success,no
24.0,retired,married,secondary,44857,yes,yes,telephone,16.0,0.0,failure,yes
33.0,admin,married,primary,47744,no,yes,telephone,23.0,0.0,success,no
43.0,blue-collar,divorced,primary,94699,yes,yes,telephone,47.0,2.0,nonexistent,yes
65.0,blue-collar,single,tertiary,75621,yes,no,cellular,12.0,3.0,success,no
69.0,unemployed,divorced,primary,0,no,no,telephone,13.0,2.0,nonexistent,no
66.0,retired,married,secondary,59246,yes,no,cellular,18.0,0.0,nonexistent,no
19.0,admin,single,secondary,80675,yes,no,telephone,2.0,4.0,nonexistent,no
65.0,admin,single,secondary,31264,no,yes,telephone,17.0,1.0,nonexistent,no
29.0,admin,divorced,primary,76596,yes,yes,cellular,23.0,3.0,success,no
49.0,admin,married,secondary,97902,no,no,telephone,43.0,0.0,failure,no
72.0,management,divorced,primary,0,no,yes,telephone,14.0,2.0,failure,yes
46.18152922479251,blue-collar,married,primary,2127,no,no,telephone,12.0,1.0,success,yes
58.0,management,divorced,primary,59722,yes,yes,telephone,14.0,4.0,nonexistent,no
46.18152922479251,unemployed,married,primary,36319,yes,no,telephone,49.0,1.0,success,no
20.0,services,single,tertiary,46087,yes,no,telephone,44.0,4.0,failure,no
37.0,unemployed,single,primary,55711,no,no,cellular,49.0,0.0,failure,yes
41.0,admin,married,primary,25281,no,no,telephone,16.0,1.0,nonexistent,no
73.0,unemployed,single,secondary,59426,no,yes,telephone,18.0,1.0,nonexistent,yes
50.0,management,married,secondary,25623,no,no,cellular,48.0,1.0,failure,yes
41.0,management,divorced,primary,98032,yes,yes,telephone,10.0,4.0,success,yes
69.0,management,divorced,primary,87616,yes,yes,telephone,19.0,3.0,failure,yes
66.0,unemployed,divorced,primary,13730,no,yes,telephone,4.0,2.0,nonexistent,yes
25.0,retired,single,secondary,26245,yes,yes,telephone,25.131025957972806,3.0,success,yes
53.0,entrepreneur,divorced,secondary,42134,yes,no,telephone,16.0,2.0004504098729843,nonexistent,yes
55.0,management,divorced,primary,29313,no,no,cellular,37.0,1.0,success,yes
52.0,retired,married,secondary,51595,no,yes,telephone,49.0,3.0,failure,no
52.0,self-employed,divorced,primary,37648,no,no,cellular,48.0,3.0,failure,no
42.0,technician,single,secondary,35289,no,no,cellular,34.0,1.0,failure,no
46.0,self-employed,married,primary,60710,no,yes,telephone,25.131025957972806,3.0,failure,yes
63.0,technician,divorced,tertiary,94541,no,yes,telephone,10.0,0.0,nonexistent,no
35.0,retired,single,tertiary,66838,yes,no,telephone,3.0,2.0,nonexistent,yes
19.0,self-employed,divorced,tertiary,6511,no,no,cellular,29.0,3.0,nonexistent,yes
71.0,student,divorced,secondary,84527,yes,no,telephone,35.0,0.0,nonexistent,no
52.0,blue-collar,single,tertiary,73450,yes,no,telephone,31.0,0.0,failure,yes
33.0,self-employed,divorced,secondary,7948,no,yes,cellular,39.0,4.0,nonexistent,no
53.0,entrepreneur,married,primary,91890,no,yes,telephone,1.0,2.0,failure,yes
50.0,unemployed,single,tertiary,3873,yes,no,cellular,19.0,0.0,failure,yes
21.0,blue-collar,single,secondary,29461,no,no,telephone,37.0,1.0,success,no
38.0,entrepreneur,single,tertiary,0,yes,yes,telephone,7.0,2.0,nonexistent,no
25.0,retired,married,secondary,31532,no,yes,telephone,14.0,4.0,nonexistent,yes
29.0,self-employed,divorced,secondary,42562,yes,yes,telephone,39.0,2.0,nonexistent,no
72.0,unemployed,divorced,primary,83884,no,no,telephone,28.0,3.0,success,yes
47.0,technician,single,secondary,88298,no,yes,cellular,14.0,4.0,nonexistent,yes
55.0,blue-collar,married,secondary,68637,no,no,cellular,15.0,2.0,failure,yes
62.0,self-employed,married,tertiary,2247,no,no,cellular,46.0,4.0,nonexistent,yes
71.0,technician,divorced,primary,67724,no,no,cellular,42.0,4.0,success,yes
46.18152922479251,services,single,secondary,95310,no,no,cellular,7.0,0.0,nonexistent,yes
44.0,entrepreneur,married,tertiary,61289,no,yes,cellular,47.0,0.0,success,no
44.0,management,divorced,primary,41547,yes,yes,telephone,24.0,4.0,success,no
51.0,student,single,secondary,696,yes,yes,cellular,26.0,3.0,nonexistent,yes
38.0,retired,single,tertiary,60041,yes,yes,telephone,14.0,0.0,failure,yes
47.0,unemployed,married,primary,17713,no,yes,telephone,47.0,4.0,nonexistent,yes
45.0,management,divorced,primary,41548,no,yes,cellular,26.0,2.0,success,yes
64.0,unemployed,divorced,primary,50633,yes,no,telephone,16.0,4.0,failure,yes
22.0,unemployed,single,secondary,88886,no,no,cellular,2.0,4.0,nonexistent,yes
52.0,services,divorced,primary,Auto%#,no,no,telephone,35.0,3.0,failure,yes
34.0,blue-collar,divorced,primary,23,yes,yes,cellular,24.0,2.0004504098729843,nonexistent,no
45.0,entrepreneur,married,secondary,84190,yes,no,telephone,25.131025957972806,3.0,success,yes
46.0,unemployed,divorced,primary,32842,yes,yes,telephone,41.0,2.0,failure,no
52.0,admin,single,secondary,33080,no,no,telephone,25.131025957972806,2.0,nonexistent,yes
58.0,technician,married,secondary,1474,yes,no,telephone,15.0,3.0,nonexistent,yes
54.0,entrepreneur,single,tertiary,77707,no,no,cellular,10.0,1.0,success,no
41.0,management,married,secondary,1260,no,yes,cellular,37.0,1.0,nonexistent,no
46.0,unemployed,married,primary,58218,no,yes,cellular,16.0,3.0,failure,yes
66.0,blue-collar,married,secondary,47109,no,no,telephone,38.0,3.0,nonexistent,yes
70.0,management,single,primary,43765,yes,yes,telephone,36.0,0.0,nonexistent,yes
48.0,retired,single,secondary,32118,yes,no,telephone,15.0,4.0,success,yes
52.0,technician,married,primary,7285,no,yes,cellular,3.0,0.0,failure,yes
50.0,self-employed,divorced,primary,55083,yes,no,telephone,19.0,0.0,nonexistent,yes
69.0,admin,single,secondary,71677,no,no,telephone,25.131025957972806,4.0,success,no
38.0,technician,married,primary,26352,yes,no,telephone,37.0,0.0,failure,no
50.0,retired,divorced,secondary,21707,yes,no,cellular,8.0,1.0,success,yes
20.0,student,divorced,secondary,20161,no,yes,cellular,24.0,4.0,failure,yes
42.0,services,married,secondary,16650,no,yes,cellular,25.131025957972806,1.0,nonexistent,no
71.0,entrepreneur,single,secondary,52139,no,yes,cellular,41.0,0.0,failure,yes
20.0,retired,divorced,tertiary,5207,yes,yes,telephone,35.0,2.0004504098729843,nonexistent,yes
41.0,management,single,primary,29222,no,no,cellular,49.0,1.0,failure,yes
67.0,retired,single,tertiary,27121,no,no,cellular,46.0,0.0,success,yes
49.0,technician,married,tertiary,82303,no,no,telephone,16.0,2.0004504098729843,failure,yes
64.0,self-employed,divorced,primary,36915,no,yes,telephone,4.0,2.0,success,no
19.0,entrepreneur,divorced,tertiary,29236,no,yes,telephone,41.0,1.0,nonexistent,yes
44.0,admin,married,secondary,5664,yes,yes,telephone,45.0,0.0,failure,no
59.0,blue-collar,divorced,tertiary,27921,yes,no,cellular,32.0,0.0,success,no
19.0,unemployed,single,primary,93381,no,no,telephone,12.0,0.0,success,no
46.18152922479251,admin,married,tertiary,78109,yes,yes,telephone,21.0,0.0,nonexistent,no
34.0,retired,divorced,tertiary,65219,no,no,telephone,15.0,0.0,success,yes
46.18152922479251,technician,married,tertiary,61590,no,yes,telephone,25.131025957972806,2.0,nonexistent,yes
50.0,entrepreneur,single,secondary,7390,yes,yes,telephone,3.0,3.0,failure,no
26.0,retired,divorced,tertiary,31777,yes,no,telephone,2.0,1.0,nonexistent,no
60.0,self-employed,single,tertiary,46588,no,no,telephone,6.0,2.0,nonexistent,yes
65.0,services,single,tertiary,40667,no,no,telephone,23.0,2.0004504098729843,success,no
56.0,self-employed,single,primary,92647,yes,yes,telephone,31.0,4.0,nonexistent,no
43.0,technician,single,secondary,61470,no,yes,cellular,16.0,4.0,nonexistent,yes
52.0,technician,single,secondary,70762,no,no,cellular,4.0,3.0,nonexistent,yes
67.0,unemployed,single,primary,85983,no,yes,telephone,46.0,2.0,nonexistent,yes
42.0,technician,divorced,tertiary,15926,yes,yes,cellular,36.0,1.0,nonexistent,yes
41.0,student,married,primary,0,yes,no,telephone,28.0,1.0,success,yes
24.0,student,married,secondary,69245,yes,no,cellular,3.0,4.0,success,yes
53.0,student,divorced,secondary,33031,yes,yes,telephone,39.0,0.0,failure,no
37.0,self-employed,single,secondary,5998,yes,no,telephone,25.131025957972806,1.0,failure,no
18.0,blue-collar,married,primary,38508,yes,yes,cellular,13.0,2.0,success,yes
25.0,self-employed,divorced,secondary,74348,no,no,cellular,4.0,3.0,nonexistent,yes
63.0,unemployed,single,tertiary,29101,yes,yes,telephone,16.0,3.0,success,yes
33.0,management,divorced,primary,77764,yes,yes,cellular,28.0,1.0,failure,no
31.0,self-employed,single,tertiary,22747,no,no,telephone,47.0,4.0,success,no
40.0,admin,married,primary,-118,yes,yes,telephone,10.0,2.0,failure,yes
32.0,admin,married,secondary,36955,no,yes,cellular,5.0,2.0,failure,no
51.0,technician,single,primary,57965,yes,no,telephone,19.0,2.0,success,yes
19.0,entrepreneur,divorced,tertiary,86794,no,yes,telephone,30.0,3.0,nonexistent,yes
40.0,self-employed,married,primary,39560,no,no,cellular,41.0,2.0,success,no
39.0,entrepreneur,single,tertiary,29343,no,no,telephone,48.0,3.0,failure,yes
68.0,entrepreneur,divorced,secondary,81943,no,yes,cellular,28.0,3.0,success,yes
42.0,technician,married,primary,0,no,no,cellular,31.0,2.0,success,no
39.0,blue-collar,divorced,primary,1889,yes,yes,telephone,36.0,4.0,success,no
66.0,retired,single,tertiary,92504,no,yes,cellular,49.0,2.0,nonexistent,no
59.0,management,married,secondary,21016,no,yes,cellular,9.0,0.0,nonexistent,no
23.0,entrepreneur,single,secondary,72747,yes,yes,cellular,12.0,3.0,success,no
46.18152922479251,technician,divorced,tertiary,20742,no,no,telephone,23.0,4.0,nonexistent,no
71.0,student,single,tertiary,21553,yes,yes,cellular,12.0,1.0,failure,yes
60.0,technician,divorced,tertiary,61338,no,yes,cellular,42.0,3.0,failure,no
50.0,services,divorced,tertiary,76625,yes,yes,telephone,26.0,0.0,failure,no
61.0,services,married,secondary,53702,no,yes,telephone,16.0,4.0,nonexistent,yes
61.0,services,single,secondary,23428,no,no,telephone,13.0,1.0,nonexistent,no
22.0,unemployed,married,primary,72033,yes,yes,cellular,35.0,2.0,success,no
56.0,student,married,secondary,26154,no,no,cellular,4.0,1.0,success,yes
21.0,blue-collar,single,tertiary,90045,yes,no,telephone,25.0,0.0,failure,yes
23.0,student,divorced,secondary,42747,yes,no,cellular,13.0,3.0,success,yes
